Category,Genres,Director,Popularity,Winner
3,80,482,3.9,False
0,149,329,6.1,False
4,48,638,18.4,False
1,74,328,19.2,False
8,149,394,17.7,False
3,30,768,10.6,False
4,225,245,18.9,True
7,75,464,16.2,False
3,203,54,16.8,False
8,218,3,24.7,False
0,149,364,14.8,False
8,149,84,191.4,False
1,76,83,14.8,False
1,80,338,7.1,False
6,99,435,7.7,True
5,142,137,54.3,False
7,102,159,38.4,False
1,102,72,22.9,False
4,223,490,29.0,True
8,149,329,6.1,False
7,95,679,13.9,True
7,126,240,15.7,False
1,80,597,11.0,False
5,90,591,91.7,False
6,149,432,21.0,False
6,78,745,13.0,False
7,156,525,19.0,False
3,74,77,9.7,False
0,223,373,8.8,False
3,178,181,67.8,True
7,203,527,5.1,False
0,149,84,191.4,False
3,212,218,10.6,True
4,76,496,19.9,False
1,76,128,10.4,False
0,218,631,28.3,False
4,113,748,9.5,False
7,177,1,24.4,False
0,73,675,18.8,False
4,23,609,54.0,False
0,198,724,23.6,False
7,203,47,16.6,False
1,188,240,7.2,True
7,76,667,20.6,True
0,75,491,8.9,True
7,76,121,18.0,False
6,223,490,29.0,True
8,71,131,23.4,True
3,149,292,11.7,True
4,161,198,16.5,False
3,4,768,8.7,False
3,125,245,5.4,False
6,212,153,28.6,False
3,77,268,5.5,True
0,71,519,11.8,False
7,102,267,9.0,False
8,183,624,8.5,False
6,227,384,675.2,False
6,77,58,48.1,False
1,203,672,4.0,False
5,102,611,34.3,False
8,74,328,19.2,False
8,48,659,11.1,True
0,168,623,9.2,True
6,102,206,12.2,False
5,74,531,11.3,False
1,43,609,34.6,False
5,149,186,6.3,False
8,203,635,12.8,False
0,76,638,19.8,False
4,74,344,14.7,False
7,102,320,10.7,False
7,103,641,14.8,True
0,102,320,24.5,True
0,102,474,5.5,False
3,149,524,0.3,False
0,140,725,17.1,False
0,95,678,34.2,False
8,140,725,17.1,True
3,31,451,2.0,False
4,217,623,13.2,False
6,102,513,8.0,False
3,91,610,19.5,False
7,76,692,42.4,False
6,203,205,8.1,False
6,193,273,7.6,True
4,149,281,1.1,False
8,77,370,7.3,False
4,202,292,8.7,False
7,156,231,19.2,False
3,76,286,11.4,False
4,106,444,8.0,False
3,230,760,69.7,False
0,95,88,22.0,False
3,194,536,29.2,False
8,203,762,6.6,False
2,90,312,307.8,False
6,80,700,16.0,True
3,83,218,13.1,False
3,142,720,81.4,False
8,77,745,2.9,False
3,193,511,1.6,False
3,203,25,3.3,False
6,149,570,6.1,False
8,13,159,25.3,False
7,71,203,14.4,False
3,85,279,1.3,False
1,71,762,8.9,True
7,95,239,9.3,False
8,101,613,14.6,False
4,149,330,4.4,False
2,73,64,10.5,False
0,80,402,10.0,False
1,36,175,10.5,False
7,203,631,127.9,False
8,134,621,29.4,False
5,231,390,59.7,True
3,203,627,3.9,False
3,29,369,23.7,True
3,170,373,8.5,True
6,142,405,52.1,False
1,136,72,20.0,False
2,210,186,8.7,False
5,203,463,10.9,False
8,212,469,3.1,False
1,192,629,11.8,True
5,57,695,50.3,False
6,102,435,6.2,False
7,78,627,5.8,False
4,83,533,16.8,True
4,134,717,23.1,False
6,140,72,17.5,False
2,134,203,112.6,True
1,203,305,5.6,True
4,95,683,13.6,False
3,80,484,15.6,False
8,76,7,16.0,False
5,125,526,2.0,True
6,203,78,8.2,False
6,3,165,225.8,False
7,212,762,9.8,False
7,70,475,122.5,False
8,97,278,10.3,True
0,149,432,21.0,False
5,149,292,17.5,False
8,102,700,19.3,False
4,203,756,10.8,False
8,102,508,10.8,False
6,218,79,109.9,True
8,76,533,10.5,False
6,102,320,24.5,False
2,76,638,19.8,False
8,125,185,6.8,False
0,134,159,25.9,False
5,203,705,27.9,False
1,102,766,77.5,True
5,9,644,13.3,True
4,203,419,8.5,False
3,78,745,13.0,False
5,189,9,13.2,False
3,212,733,44.1,True
4,134,579,120.3,False
6,95,88,22.0,True
5,95,569,70.7,False
2,178,4,8.3,False
6,21,393,183.2,False
7,212,268,10.4,False
5,187,358,10.4,False
0,77,91,50.0,True
3,121,191,3.0,False
6,149,18,14.7,False
1,76,695,24.2,False
2,95,88,22.0,True
3,218,145,61.7,False
3,77,404,2.1,True
5,76,709,24.1,False
0,136,482,7.7,False
8,80,414,17.9,False
3,113,758,5.9,True
0,225,752,9.8,False
3,203,736,5.2,False
5,149,344,5.8,False
1,77,534,12.5,True
2,73,9,21.1,True
3,83,212,13.7,False
1,80,87,4.7,False
7,142,59,62.0,False
3,30,538,10.8,False
1,149,435,6.1,False
0,168,72,24.3,False
7,3,364,6.3,False
4,118,737,4.2,False
3,125,337,56.5,False
6,54,579,77.9,False
6,75,245,20.5,False
3,76,230,15.1,False
3,203,117,5.1,False
6,102,373,6.3,False
7,149,394,17.7,True
4,142,694,18.6,True
7,102,506,9.3,True
4,199,203,61.2,False
4,73,475,41.9,False
1,203,705,27.9,False
0,74,178,9.4,False
6,74,757,13.2,True
4,202,509,40.8,True
3,51,205,7.1,False
8,203,475,17.9,False
5,170,21,17.5,False
1,149,394,17.7,False
0,149,419,6.1,False
6,175,309,7.4,False
5,3,609,148.8,False
8,125,173,7.9,True
3,77,509,28.9,False
3,27,353,24.8,False
3,149,622,17.8,True
1,77,745,2.9,False
3,102,513,8.0,False
0,134,203,112.6,False
3,45,215,7.9,False
4,222,218,17.3,False
7,95,473,23.9,False
8,79,276,9.2,False
7,170,21,17.5,False
8,102,764,14.0,False
1,203,197,11.9,True
4,203,428,18.0,False
1,136,359,8.6,False
6,194,202,32.0,False
5,95,192,14.0,False
1,141,179,3.0,True
1,203,673,7.1,True
3,76,670,24.0,False
0,156,525,19.0,False
1,170,359,6.1,False
6,101,613,14.6,False
8,13,159,25.3,True
0,73,344,16.7,False
6,142,683,9.8,False
0,210,575,10.1,False
3,90,239,19.9,False
2,203,115,3.3,False
6,212,398,9.8,False
3,131,525,14.3,False
3,193,742,1.8,False
3,203,392,1.4,False
1,149,356,11.2,False
6,51,218,5.2,False
2,149,431,21.0,True
6,23,116,56.1,False
3,149,656,33.1,True
4,74,694,30.2,False
1,203,756,10.8,False
5,95,385,22.1,True
6,77,509,28.9,True
5,2,559,18.7,False
4,19,760,20.2,True
0,95,541,9.1,False
6,140,525,21.1,True
0,142,720,81.4,True
1,203,296,11.2,False
7,149,665,22.1,False
3,193,58,26.6,False
6,217,121,31.6,True
