antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Best Adapted Screenplay'}),frozenset({'Best Actor'}),0.1356397583745195,0.2531576057111477,0.04612850082372323,0.340080971659919,1.3433567231946042,1.0,0.011790264354391282,1.131718229382494,0.2957055121921705,0.1346153846153846,0.11638783043581807,0.2611467765024107
frozenset({'Best Actor'}),frozenset({'Best Adapted Screenplay'}),0.2531576057111477,0.1356397583745195,0.04612850082372323,0.1822125813449024,1.3433567231946042,1.0,0.011790264354391282,1.0569497914836778,0.34223564425770325,0.1346153846153846,0.053881264694451876,0.2611467765024107
frozenset({'Best Director'}),frozenset({'Best Actor'}),0.2591982427237781,0.2531576057111477,0.11257550796265788,0.4343220338983051,1.715619140409574,1.0,0.0469575014301693,1.320260712001267,0.5630656855123038,0.28159340659340665,0.24257384097706883,0.4395037501378727
frozenset({'Best Actor'}),frozenset({'Best Director'}),0.2531576057111477,0.2591982427237781,0.11257550796265788,0.44468546637744033,1.715619140409574,1.0,0.0469575014301693,1.3340219144700713,0.5585114777618366,0.28159340659340665,0.2503871269631719,0.4395037501378727
frozenset({'Best Actor'}),frozenset({'Best Picture'}),0.2531576057111477,0.31466227347611203,0.13289401427786932,0.524945770065076,1.6682831540811578,1.0,0.05323486651703041,1.4426515613128423,0.5363666747690813,0.3055555555555556,0.30683192891707006,0.47364216950025184
frozenset({'Best Picture'}),frozenset({'Best Actor'}),0.31466227347611203,0.2531576057111477,0.13289401427786932,0.4223385689354276,1.6682831540811578,1.0,0.05323486651703041,1.2928721810498862,0.5845021455816911,0.3055555555555556,0.2265283338466277,0.47364216950025184
frozenset({'Best Supporting Actor'}),frozenset({'Best Actor'}),0.22679846238330587,0.2531576057111477,0.071389346512905,0.314769975786925,1.2433755442689598,1.0,0.013973590796977492,1.089914872230728,0.25315231643356667,0.17473118279569896,0.08249715140293416,0.29838281869606553
frozenset({'Best Actor'}),frozenset({'Best Supporting Actor'}),0.2531576057111477,0.22679846238330587,0.071389346512905,0.2819956616052061,1.2433755442689598,1.0,0.013973590796977492,1.076875857526574,0.26208710407239844,0.17473118279569896,0.07138785495957412,0.29838281869606553
frozenset({'Best Supporting Actress'}),frozenset({'Best Actor'}),0.2213069741900055,0.2531576057111477,0.071389346512905,0.3225806451612903,1.2742285354418865,1.0,0.01536380279978445,1.1024816296644961,0.2763751763046546,0.17711171662125344,0.09295540796963948,0.3022881533832482
frozenset({'Best Actor'}),frozenset({'Best Supporting Actress'}),0.2531576057111477,0.2213069741900055,0.071389346512905,0.2819956616052061,1.2742285354418867,1.0,0.01536380279978445,1.0845241235601435,0.2881617647058825,0.17711171662125344,0.07793660069328655,0.3022881533832482
frozenset({'Best Director'}),frozenset({'Best Actress'}),0.2591982427237781,0.2602965403624382,0.08072487644151564,0.3114406779661017,1.1964841235786312,1.0,0.013256470592492672,1.0742770244582436,0.22167592018275062,0.18397997496871088,0.06914140651542035,0.3107836301222914
frozenset({'Best Actress'}),frozenset({'Best Director'}),0.2602965403624382,0.2591982427237781,0.08072487644151564,0.310126582278481,1.1964841235786312,1.0,0.013256470592492672,1.0738227307306702,0.2220050603760435,0.18397997496871088,0.06874759549971382,0.3107836301222914
frozenset({'Best Actress'}),frozenset({'Best Picture'}),0.2602965403624382,0.31466227347611203,0.09170785282811642,0.3523206751054852,1.1196787947069609,1.0,0.009802351659705055,1.0581435907893255,0.1444994198685036,0.1897727272727273,0.054948677377474796,0.3218845958424459
frozenset({'Best Picture'}),frozenset({'Best Actress'}),0.31466227347611203,0.2602965403624382,0.09170785282811642,0.2914485165794066,1.1196787947069609,1.0,0.009802351659705055,1.0439657201288741,0.15596211423307238,0.1897727272727273,0.04211414156726019,0.3218845958424459
frozenset({'Best Supporting Actress'}),frozenset({'Best Actress'}),0.2213069741900055,0.2602965403624382,0.06809445359692477,0.3076923076923077,1.1820837390457646,1.0,0.010489013857186931,1.0684605528098114,0.19781382228490837,0.16467463479415673,0.06407401062189484,0.28464784160986695
frozenset({'Best Actress'}),frozenset({'Best Supporting Actress'}),0.2602965403624382,0.2213069741900055,0.06809445359692477,0.2616033755274262,1.1820837390457644,1.0,0.010489013857186931,1.0545728406683925,0.20824053452115815,0.16467463479415673,0.051748763635714436,0.28464784160986695
frozenset({'Best Adapted Screenplay'}),frozenset({'Best Director'}),0.1356397583745195,0.2591982427237781,0.05656232839099396,0.41700404858299595,1.6088228230288892,1.0,0.02140474137684064,1.2706807919946308,0.43781226483759145,0.16720779220779225,0.21302029093375513,0.3176121937830234
frozenset({'Best Director'}),frozenset({'Best Adapted Screenplay'}),0.2591982427237781,0.1356397583745195,0.05656232839099396,0.21822033898305088,1.6088228230288892,1.0,0.02140474137684064,1.1056315285832705,0.5108350666081312,0.16720779220779225,0.09553954084379647,0.3176121937830234
frozenset({'Best Adapted Screenplay'}),frozenset({'Best Picture'}),0.1356397583745195,0.31466227347611203,0.07962657880285558,0.5870445344129555,1.86563367742756,1.0,0.03694586405897877,1.6595923377588269,0.5368005958901109,0.2148148148148148,0.3974423855496729,0.420049317817298
frozenset({'Best Picture'}),frozenset({'Best Adapted Screenplay'}),0.31466227347611203,0.1356397583745195,0.07962657880285558,0.2530541012216405,1.8656336774275601,1.0,0.03694586405897877,1.1571925664752345,0.6770225464190982,0.2148148148148148,0.13583959232821308,0.420049317817298
