Popularity,Vote_Average,IMDb_Rating
32.0,8.1,8.2
3.6,5.8,6.3
6.0,7.2,7.5
28.6,7.5,7.9
10.2,6.8,7.2
18.1,7.5,7.8
11.4,6.6,7.0
7.8,7.1,7.8
3.9,6.3,6.7
40.1,8.1,8.2
23.6,7.6,7.5
38.4,7.1,7.7
15.6,7.1,7.1
30.9,7.9,8.1
18.5,7.4,7.5
63.2,7.4,7.8
8.5,7.6,8.1
1.4,5.7,6.1
40.8,8.4,8.7
17.3,7.7,7.9
18.5,7.6,8.0
19.0,7.7,8.0
18.5,7.5,7.6
14.8,7.0,7.5
14.9,7.5,7.5
3.7,6.5,6.7
10.8,6.6,7.3
31.1,8.2,8.5
40.8,8.4,8.7
15.9,7.6,7.7
10.2,7.5,7.9
13.6,7.0,7.2
11.7,7.8,8.1
1.9,5.3,6.2
42.4,7.9,8.1
38.4,8.3,8.6
9.1,6.6,7.2
5.5,6.1,7.0
1.5,6.4,6.0
25.7,7.8,8.2
24.3,8.3,8.4
10.7,7.3,7.7
5.7,6.7,7.0
25.3,7.4,7.8
29.4,8.0,8.3
27.9,7.0,7.1
12.2,7.5,7.8
10.7,7.0,7.5
21.7,7.3,7.5
14.4,7.1,7.5
29.2,8.0,8.3
7.7,7.8,8.2
11.0,7.7,8.0
12.2,7.5,7.8
14.3,7.3,7.8
23.9,7.4,7.7
3.5,5.9,6.5
33.6,8.0,8.1
176.2,8.7,9.2
18.3,6.8,7.3
3.1,5.5,6.4
4.9,7.0,7.6
27.3,8.1,8.1
11.5,6.6,6.7
22.9,8.2,8.3
3.8,6.3,7.1
13.6,7.0,7.2
24.7,6.8,6.9
4.0,7.6,7.5
177.9,8.7,9.3
7.9,6.6,7.1
2.5,7.1,7.2
7.8,7.1,7.8
14.6,5.8,6.0
29.8,7.9,8.2
18.1,7.5,7.8
13.1,6.9,7.1
10.8,6.6,7.0
8.3,7.3,7.8
14.3,7.2,7.0
40.8,8.4,8.7
18.2,7.6,7.9
23.9,6.8,7.0
9.2,7.0,7.4
21.6,7.2,7.4
18.7,6.4,6.6
13.0,6.8,7.2
