Winner,Popularity,Vote_Average,IMDb_Rating
False,16.3,6.5,6.8
True,16.0,7.7,7.9
False,16.0,7.7,7.9
False,16.0,7.7,7.9
False,16.0,7.7,7.9
False,8.7,7.1,7.4
False,8.7,7.1,7.4
False,8.7,7.1,7.4
False,30.7,7.5,7.9
False,30.7,7.5,7.9
True,30.7,7.5,7.9
False,1.4,5.7,5.4
True,28.9,8.0,8.4
False,28.9,8.0,8.4
False,28.9,8.0,8.4
True,28.9,8.0,8.4
True,28.9,8.0,8.4
True,28.9,8.0,8.4
False,11.4,7.9,7.9
False,11.4,7.9,7.9
False,56.5,7.9,8.3
False,56.5,7.9,8.3
False,6.3,6.9,7.7
False,6.3,6.9,7.7
False,6.3,6.9,7.7
True,33.1,8.0,8.3
False,33.1,8.0,8.3
True,33.1,8.0,8.3
True,33.1,8.0,8.3
True,33.1,8.0,8.3
True,33.1,8.0,8.3
False,16.3,7.3,7.5
False,16.3,7.3,7.5
False,16.3,7.3,7.5
True,16.3,7.3,7.5
False,33.7,7.6,7.8
False,26.3,7.0,7.5
False,26.3,7.0,7.4
False,26.3,7.0,7.4
False,30.9,8.3,8.5
False,25.9,6.9,7.2
False,25.9,6.9,7.2
False,25.9,6.9,7.2
False,25.9,6.9,7.2
False,25.9,6.9,7.2
False,25.9,6.9,7.2
False,25.9,6.9,7.2
False,60.6,7.4,7.3
False,60.6,7.4,7.3
False,60.6,7.4,7.3
False,6.1,7.2,7.4
False,3.0,7.0,7.3
False,3.0,7.0,7.3
False,15.6,7.8,7.9
False,15.6,7.8,7.9
False,15.6,7.8,7.9
False,15.6,7.8,7.9
False,13.7,7.4,7.4
True,12.2,7.0,7.1
False,12.2,7.0,7.1
True,12.2,7.0,7.1
False,13.0,6.9,7.2
False,13.0,6.9,7.2
False,13.0,6.9,7.2
True,27.9,7.0,7.1
False,27.9,7.0,7.1
False,27.9,7.0,7.1
False,4.6,6.7,7.5
False,4.6,6.7,7.2
False,4.6,6.7,7.2
True,8.8,6.8,7.2
False,52.1,7.5,7.7
False,52.1,7.5,7.7
False,52.1,7.5,7.7
True,52.1,7.5,7.7
False,21.0,7.8,7.0
False,21.0,7.8,8.0
False,21.0,7.8,8.0
False,21.0,7.8,8.0
False,21.0,7.8,8.0
False,9.2,6.8,7.0
False,9.2,6.8,7.0
False,9.2,6.8,7.0
False,2.0,5.7,8.0
False,2.5,5.9,6.5
False,10.2,7.5,7.9
False,10.2,7.5,7.9
False,14.3,6.8,7.2
False,1.6,5.6,6.4
False,5.2,6.1,7.0
True,5.2,6.1,7.0
False,5.1,6.2,6.6
False,5.1,6.2,6.6
False,5.1,6.2,6.6
False,23.9,6.7,6.6
False,12.6,7.1,7.2
False,12.6,7.1,7.4
False,12.6,7.1,7.4
False,12.6,7.1,7.4
False,12.6,7.1,7.4
False,7.4,6.8,6.9
False,18.1,7.7,8.0
True,18.1,7.7,8.0
True,18.1,7.7,8.0
True,18.1,7.7,8.0
True,18.1,7.7,8.0
False,768.0,7.0,7.8
False,768.0,7.0,7.8
False,768.0,7.0,7.8
False,768.0,7.0,7.8
False,768.0,7.0,7.8
False,21.3,7.6,7.7
False,8.5,7.0,7.4
True,2.8,5.7,6.3
True,2.8,5.7,6.3
False,2.8,5.7,6.3
False,61.2,8.3,8.4
True,61.2,8.3,8.4
False,61.2,8.3,8.4
False,61.2,8.3,8.4
False,61.2,8.3,8.4
False,35.3,7.4,7.7
False,35.3,7.4,7.7
False,35.3,7.4,7.7
False,35.3,7.4,7.7
False,5.3,5.9,6.1
False,27.2,7.3,7.7
True,27.2,7.3,7.7
True,27.2,7.3,7.7
False,2.3,6.1,6.8
False,1.2,6.0,5.7
True,11.9,6.6,6.7
False,11.9,6.6,6.7
True,11.9,6.6,6.7
True,11.9,6.6,6.7
False,77.0,7.6,7.9
False,77.0,7.6,7.9
False,77.0,7.6,7.9
False,77.0,7.6,7.9
False,3.9,6.5,6.2
False,3.9,6.5,6.2
False,12.0,6.5,6.9
True,12.0,6.5,6.9
False,12.0,6.5,6.9
True,24.5,7.4,7.7
False,24.5,7.4,7.7
True,24.5,7.4,7.7
False,24.5,7.4,7.7
False,24.5,7.4,7.7
False,16.3,6.9,6.9
False,10.2,6.8,7.3
False,10.2,6.8,7.3
False,10.2,6.8,7.3
False,10.2,6.8,7.3
False,10.2,6.8,7.3
False,33.4,7.6,7.8
False,33.4,7.6,7.8
False,33.4,7.6,7.8
False,33.4,7.6,7.8
False,13.6,7.5,8.0
False,11.4,6.9,7.2
False,11.4,6.9,7.2
False,8.0,7.0,8.0
False,8.0,7.0,8.0
False,8.0,7.0,8.0
False,8.0,7.0,8.0
False,12.1,8.0,8.1
False,12.1,8.0,8.1
False,5.2,6.6,7.2
False,5.2,6.6,7.2
True,135.3,7.6,7.9
False,135.3,7.6,7.9
False,135.3,7.6,7.9
False,170.1,7.6,7.5
