IMDb_Rating,Popularity,Vote_Count,Vote_Average,Winner,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress
7.3,18.319,291,6.8,1,False,False,False,False,False,False,False,False,True
7.3,18.319,291,6.8,0,False,False,False,True,False,False,False,False,False
7.3,18.319,291,6.8,0,False,False,False,False,True,False,False,False,False
7.3,18.319,291,6.8,0,False,False,False,False,False,False,True,False,False
7.3,18.319,291,6.8,0,False,False,True,False,False,False,False,False,False
8.0,8.753,107,7.575,0,False,True,False,False,False,False,False,False,False
8.0,8.753,107,7.575,1,False,False,False,False,False,False,False,False,True
8.0,8.753,107,7.575,0,False,False,False,True,False,False,False,False,False
7.7,9.175,388,7.3,0,True,False,False,False,False,False,False,False,False
7.7,9.175,388,7.3,0,False,True,False,False,False,False,False,False,False
7.7,9.175,388,7.3,1,False,False,False,True,False,False,False,False,False
7.7,9.175,388,7.3,1,False,False,False,False,True,False,False,False,False
7.7,9.175,388,7.3,0,False,False,False,False,False,False,True,False,False
7.2,220.363,347,6.902,0,False,False,False,False,False,False,False,True,False
7.2,220.363,347,6.902,0,False,False,False,False,False,True,False,False,False
7.2,17.79,1081,7.0,1,False,False,False,True,False,False,False,False,False
7.2,17.79,1081,7.0,0,False,False,True,False,False,False,False,False,False
7.2,17.08,764,6.956,0,False,False,False,False,False,False,False,True,False
7.2,17.08,764,6.956,0,False,False,False,False,False,False,False,False,True
7.2,17.08,764,6.956,0,False,False,False,True,False,False,False,False,False
7.2,17.08,764,6.956,0,False,False,False,False,True,False,False,False,False
7.2,17.08,764,6.956,0,False,False,False,False,False,False,True,False,False
7.2,17.08,764,6.956,1,False,False,True,False,False,False,False,False,False
8.3,17.961,1756,7.9,0,False,False,False,False,False,True,False,False,False
7.0,14.046,2109,6.7,0,False,False,False,False,False,False,True,False,False
7.0,14.046,2109,6.7,0,False,False,False,False,False,True,False,False,False
5.5,0.995,8,5.813,0,False,True,False,False,False,False,False,False,False
7.5,16.115,938,7.2,0,False,False,False,False,False,False,False,True,False
7.5,16.115,938,7.2,0,False,False,True,False,False,False,False,False,False
7.5,12.319,1546,7.3,0,True,False,False,False,False,False,False,False,False
7.2,10.192,188,6.8,0,False,False,False,False,False,False,False,True,False
7.2,10.192,188,6.8,0,False,False,False,False,False,False,True,False,False
7.2,10.192,188,6.8,0,False,False,True,False,False,False,False,False,False
6.6,3.247,25,6.3,0,True,False,False,False,False,False,False,False,False
6.6,3.247,25,6.3,0,False,False,False,True,False,False,False,False,False
