Year,Popularity,Vote_Count,Vote_Average,IMDb_Rating
1966,7.867,207,6.5,7.0
1966,7.867,207,6.5,7.0
1966,7.867,207,6.5,7.0
1938,4.032,37,6.3,6.6
1938,4.032,37,6.3,6.6
1938,4.032,37,6.3,6.6
2001,17.042,1726,6.758,6.7
2001,17.042,1726,6.758,6.7
1928,1.388,19,5.9,5.7
1928,1.388,19,5.9,5.7
1990,10.212,309,6.4,6.6
1935,4.026,53,6.7,6.9
1935,4.026,53,6.7,6.9
1974,9.883,465,7.0,7.3
1974,9.883,465,7.0,7.3
1974,9.883,465,7.0,7.3
1969,7.202,68,6.2,6.3
1986,80.292,9910,7.95,8.4
1950,17.733,1550,8.089,8.2
1950,17.733,1550,8.089,8.2
1950,17.733,1550,8.089,8.2
1950,17.733,1550,8.089,8.2
1950,17.733,1550,8.089,8.2
1950,17.733,1550,8.089,8.2
1950,17.733,1550,8.089,8.2
1950,17.733,1550,8.089,8.2
1929,19.264,812,7.8,8.1
1929,19.264,812,7.8,8.1
1929,19.264,812,7.8,8.1
2022,67.757,4007,7.724,7.8
2022,67.757,4007,7.724,7.8
2022,67.757,4007,7.724,7.8
1979,12.554,513,7.5,7.8
1979,12.554,513,7.5,7.8
1979,12.554,513,7.5,7.8
1979,12.554,513,7.5,7.8
1979,12.554,513,7.5,7.8
1941,4.935,83,7.0,7.6
1953,2.978,13,5.9,6.2
1949,9.18,219,7.0,7.4
1949,9.18,219,7.0,7.4
1949,9.18,219,7.0,7.4
1949,9.18,219,7.0,7.4
1949,9.18,219,7.0,7.4
2017,16.312,2267,6.5,6.8
1976,16.011,1832,7.7,7.9
1976,16.011,1832,7.7,7.9
1976,16.011,1832,7.7,7.9
1976,16.011,1832,7.7,7.9
1940,8.671,49,7.1,7.4
1940,8.671,49,7.1,7.4
1940,8.671,49,7.1,7.4
2000,30.654,2779,7.5,7.9
2000,30.654,2779,7.5,7.9
2000,30.654,2779,7.5,7.9
1941,1.432,3,5.7,5.4
1984,28.892,4279,8.0,8.4
1984,28.892,4279,8.0,8.4
1984,28.892,4279,8.0,8.4
1984,28.892,4279,8.0,8.4
1984,28.892,4279,8.0,8.4
1984,28.892,4279,8.0,8.4
1975,11.385,1111,7.9,7.9
1975,11.385,1111,7.9,7.9
2001,56.549,11612,7.915,8.3
2001,56.549,11612,7.915,8.3
1963,6.346,88,6.915,7.7
1963,6.346,88,6.915,7.7
1963,6.346,88,6.915,7.7
1999,33.125,12137,8.01,8.3
1999,33.125,12137,8.01,8.3
1999,33.125,12137,8.01,8.3
1999,33.125,12137,8.01,8.3
1999,33.125,12137,8.01,8.3
1999,33.125,12137,8.01,8.3
2023,16.26,1039,7.325,7.5
2023,16.26,1039,7.325,7.5
2023,16.26,1039,7.325,7.5
2023,16.26,1039,7.325,7.5
2007,33.713,5495,7.589,7.8
1973,26.321,1443,7.0,7.5
1973,26.321,1443,7.0,7.4
1973,26.321,1443,7.0,7.4
1998,30.857,11679,8.34,8.5
2013,25.863,7290,6.852,7.2
2013,25.863,7290,6.852,7.2
2013,25.863,7290,6.852,7.2
2013,25.863,7290,6.852,7.2
2013,25.863,7290,6.852,7.2
2013,25.863,7290,6.852,7.2
2013,25.863,7290,6.852,7.2
2014,60.585,12924,7.424,7.3
2014,60.585,12924,7.424,7.3
2014,60.585,12924,7.424,7.3
2003,6.08,479,7.2,7.4
1997,2.952,1297,7.0,7.3
1997,2.952,1297,7.0,7.3
2012,15.565,1630,7.8,7.9
2012,15.565,1630,7.8,7.9
2012,15.565,1630,7.8,7.9
2012,15.565,1630,7.8,7.9
1957,13.669,464,7.4,7.4
1951,12.24,582,7.0,7.1
1951,12.24,582,7.0,7.1
1951,12.24,582,7.0,7.1
2009,13.005,1308,6.9,7.2
2009,13.005,1308,6.9,7.2
2009,13.005,1308,6.9,7.2
1982,27.901,1110,7.0,7.1
1982,27.901,1110,7.0,7.1
1982,27.901,1110,7.0,7.1
1978,4.636,68,6.7,7.5
1978,4.636,68,6.7,7.2
1978,4.636,68,6.7,7.2
1956,8.769,174,6.8,7.2
2023,52.118,2611,7.548,7.7
2023,52.118,2611,7.548,7.7
2023,52.118,2611,7.548,7.7
2023,52.118,2611,7.548,7.7
1959,20.979,1008,7.8,7.0
1959,20.979,1008,7.8,8.0
1959,20.979,1008,7.8,8.0
1959,20.979,1008,7.8,8.0
1959,20.979,1008,7.8,8.0
1945,9.245,157,6.8,7.0
1945,9.245,157,6.8,7.0
1945,9.245,157,6.8,7.0
1975,1.972,18,5.7,8.0
1940,2.504,28,5.911,6.5
1938,10.193,319,7.536,7.9
1938,10.193,319,7.536,7.9
2010,14.255,826,6.807,7.2
1987,1.581,12,5.6,6.4
1946,5.189,36,6.1,7.0
1946,5.189,36,6.1,7.0
1929,5.087,49,6.2,6.6
1929,5.087,49,6.2,6.6
1929,5.087,49,6.2,6.6
2012,23.883,2287,6.7,6.6
1969,12.635,117,7.1,7.2
1969,12.635,117,7.1,7.4
1969,12.635,117,7.1,7.4
1969,12.635,117,7.1,7.4
1969,12.635,117,7.1,7.4
1950,7.424,77,6.8,6.9
1977,18.062,3911,7.742,8.0
1977,18.062,3911,7.742,8.0
1977,18.062,3911,7.742,8.0
1977,18.062,3911,7.742,8.0
1977,18.062,3911,7.742,8.0
2024,768.016,913,7.048,7.8
2024,768.016,913,7.048,7.8
2024,768.016,913,7.048,7.8
2024,768.016,913,7.048,7.8
2024,768.016,913,7.048,7.8
2020,21.295,3303,7.629,7.7
2010,8.504,390,7.0,7.4
1936,2.773,30,5.7,6.3
1936,2.773,30,5.7,6.3
1936,2.773,30,5.7,6.3
1979,61.249,8322,8.271,8.4
1979,61.249,8322,8.271,8.4
1979,61.249,8322,8.271,8.4
1979,61.249,8322,8.271,8.4
1979,61.249,8322,8.271,8.4
1995,35.272,5445,7.4,7.7
1995,35.272,5445,7.4,7.7
1995,35.272,5445,7.4,7.7
1995,35.272,5445,7.4,7.7
1942,5.262,48,5.9,6.1
2012,27.233,8314,7.278,7.7
2012,27.233,8314,7.278,7.7
2012,27.233,8314,7.278,7.7
1940,2.328,17,6.1,6.8
1938,1.197,2,6.0,5.7
1956,11.856,521,6.6,6.7
