Winner,Category,Genres,Director,Popularity
False,Best Picture,"Adventure, Drama, History",David Lean,18.3
False,Best Adapted Screenplay,"Adventure, Drama, History",David Lean,18.3
False,Best Actress,Drama,Guy Green,8.8
True,Best Supporting Actress,Drama,Guy Green,8.8
False,Best Cinematography,Drama,Guy Green,8.8
False,Best Actor,"Drama, Romance",George Stevens,9.2
False,Best Actress,"Drama, Romance",George Stevens,9.2
True,Best Cinematography,"Drama, Romance",George Stevens,9.2
True,Best Director,"Drama, Romance",George Stevens,9.2
False,Best Picture,"Drama, Romance",George Stevens,9.2
False,Best Supporting Actor,"Comedy, Drama",Jesse Eisenberg,220.4
False,Best Original Screenplay,"Comedy, Drama",Jesse Eisenberg,220.4
True,Best Cinematography,Drama,Robert Redford,17.8
False,Best Adapted Screenplay,Drama,Robert Redford,17.8
False,Best Supporting Actor,"Drama, Romance",James Ivory,17.1
False,Best Supporting Actress,"Drama, Romance",James Ivory,17.1
False,Best Cinematography,"Drama, Romance",James Ivory,17.1
False,Best Director,"Drama, Romance",James Ivory,17.1
False,Best Picture,"Drama, Romance",James Ivory,17.1
True,Best Adapted Screenplay,"Drama, Romance",James Ivory,17.1
False,Best Original Screenplay,Drama,Asghar Farhadi,18.0
False,Best Picture,"Comedy, Drama","Ethan Coen, Joel Coen",14.0
False,Best Original Screenplay,"Comedy, Drama","Ethan Coen, Joel Coen",14.0
False,Best Actress,Drama,William K. Howard,1.0
False,Best Supporting Actor,"Crime, Drama, Thriller",Sam Raimi,16.1
False,Best Adapted Screenplay,"Crime, Drama, Thriller",Sam Raimi,16.1
False,Best Actor,"Drama, Romance, Thriller",Tom Ford,12.3
False,Best Supporting Actor,"Crime, Drama, Mystery",Norman Jewison,10.2
False,Best Picture,"Crime, Drama, Mystery",Norman Jewison,10.2
False,Best Adapted Screenplay,"Crime, Drama, Mystery",Norman Jewison,10.2
False,Best Actor,"Biography, Drama, Music",Charles Vidor,3.2
False,Best Cinematography,"Biography, Drama, Music",Charles Vidor,3.2
False,Best Actor,"Drama, Romance",Ettore Scola,9.8
False,Best Actor,"Drama, Romance","William A. Wellman, Jack Conway, Victor Fleming",10.8
False,Best Actress,"Drama, Romance","William A. Wellman, Jack Conway, Victor Fleming",10.8
False,Best Director,"Drama, Romance","William A. Wellman, Jack Conway, Victor Fleming",10.8
False,Best Picture,"Drama, Romance","William A. Wellman, Jack Conway, Victor Fleming",10.8
False,Best Actor,"Drama, Musical, Romance",George Cukor,11.5
False,Best Actress,"Drama, Musical, Romance",George Cukor,11.5
False,Best Cinematography,"Drama, Music, Romance",Frank Pierson,8.6
False,Best Actor,"Drama, Music, Romance",Bradley Cooper,38.2
False,Best Supporting Actor,"Drama, Music, Romance",Bradley Cooper,38.2
False,Best Actress,"Drama, Music, Romance",Bradley Cooper,38.2
False,Best Cinematography,"Drama, Music, Romance",Bradley Cooper,38.2
False,Best Picture,"Drama, Music, Romance",Bradley Cooper,38.2
False,Best Adapted Screenplay,"Drama, Music, Romance",Bradley Cooper,38.2
False,Best Actor,Drama,Elia Kazan,18.2
True,Best Supporting Actor,Drama,Elia Kazan,18.2
True,Best Actress,Drama,Elia Kazan,18.2
True,Best Supporting Actress,Drama,Elia Kazan,18.2
False,Best Cinematography,Drama,Elia Kazan,18.2
False,Best Director,Drama,Elia Kazan,18.2
False,Best Picture,Drama,Elia Kazan,18.2
False,Best Picture,"Drama, History, Romance","Jack Conway, Robert Z. Leonard",7.4
True,Best Supporting Actor,"Comedy, Drama",Fred Coe,1.9
False,Best Picture,"Comedy, Drama",Fred Coe,1.9
True,Best Actress,"Comedy, Romance",Melvin Frank,5.7
False,Best Picture,"Comedy, Romance",Melvin Frank,5.7
True,Best Supporting Actor,"Drama, Family, Romance",Elia Kazan,8.6
False,Best Cinematography,"Drama, Mystery, Romance",Jean-Pierre Jeunet,14.1
False,Best Actress,Drama,John Cassavetes,14.6
False,Best Director,Drama,John Cassavetes,14.6
False,Best Actor,"Biography, Drama, History",John Cromwell,1.8
False,Best Cinematography,"Biography, Drama, History",John Cromwell,1.8
False,Best Adapted Screenplay,"Comedy, Drama, Romance","Chris Weitz, Paul Weitz",17.5
False,Best Actor,Drama,Alexander Payne,11.3
False,Best Supporting Actress,Drama,Alexander Payne,11.3
False,Best Actor,"Drama, Romance, Thriller",Sydney Pollack,9.2
False,Best Supporting Actress,"Drama, Romance, Thriller",Sydney Pollack,9.2
False,Best Original Screenplay,"Drama, Romance, Thriller",Sydney Pollack,9.2
False,Best Actor,"Comedy, Drama",Spike Jonze,13.9
True,Best Supporting Actor,"Comedy, Drama",Spike Jonze,13.9
False,Best Supporting Actress,"Comedy, Drama",Spike Jonze,13.9
False,Best Adapted Screenplay,"Comedy, Drama",Spike Jonze,13.9
False,Best Actor,"Adventure, Drama, Family",Luis Buñuel,7.4
False,Best Actor,"Drama, Mystery, Thriller",Paul Schrader,8.4
True,Best Supporting Actor,"Drama, Mystery, Thriller",Paul Schrader,8.4
False,Best Actress,"Comedy, Drama, Romance",Alan Rudolph,4.2
False,Best Actor,Drama,Charlotte Wells,36.5
False,Best Actress,"Drama, Mystery",Norman Jewison,7.8
False,Best Supporting Actress,"Drama, Mystery",Norman Jewison,7.8
False,Best Cinematography,"Action, Drama, History",Howard Hawks,5.3
False,Best Original Screenplay,"Action, Drama, History",Howard Hawks,5.3
