IMDb_Rating,Popularity,Vote_Count,Vote_Average,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress,Winner
7.5,20.806,7558,7.503,False,False,True,False,False,False,False,False,False,1
7.6,5.355,50,7.2,False,False,False,True,False,False,False,False,False,0
7.1,17.684,2494,6.674,False,False,True,False,False,False,False,False,False,0
7.4,16.976,1091,7.185,False,False,False,False,False,False,False,True,False,0
7.8,22.103,7173,7.7,False,False,False,False,False,False,False,False,True,0
7.6,18.88,1892,7.3,False,False,False,False,False,False,True,False,False,1
6.3,10.862,196,6.1,False,False,False,True,False,False,False,False,False,0
6.7,1.081,19,5.6,False,True,False,False,False,False,False,False,False,0
6.8,2.988,10,6.8,True,False,False,False,False,False,False,False,False,0
7.5,6.696,105,6.938,False,False,False,False,True,False,False,False,False,0
7.0,9.755,129,6.6,False,False,False,False,False,False,False,True,False,1
8.1,14.812,992,7.8,True,False,False,False,False,False,False,False,False,0
8.0,675.246,1608,6.895,False,False,False,False,False,False,True,False,False,0
8.3,19.654,10075,8.0,False,True,False,False,False,False,False,False,False,0
7.8,36.351,4704,7.562,False,False,False,False,False,False,True,False,False,0
7.3,10.826,215,7.133,False,False,False,False,True,False,False,False,False,0
6.4,4.72,46,6.2,True,False,False,False,False,False,False,False,False,0
7.0,10.095,301,6.525,True,False,False,False,False,False,False,False,False,0
8.2,44.075,4061,7.9,False,False,False,True,False,False,False,False,False,1
8.2,47.709,10276,7.858,False,False,True,False,False,False,False,False,False,1
7.8,12.797,890,7.4,False,False,False,True,False,False,False,False,False,1
6.3,4.813,62,6.1,False,False,True,False,False,False,False,False,False,0
8.0,73.07,9938,7.9,True,False,False,False,False,False,False,False,False,0
7.4,8.208,523,7.112,False,False,False,False,False,False,False,False,True,0
7.1,6.503,137,7.0,True,False,False,False,False,False,False,False,False,0
8.1,63.938,11427,8.3,False,False,False,False,False,False,True,False,False,0
7.0,9.304,130,6.7,False,False,False,False,True,False,False,False,False,0
7.5,19.306,2179,7.203,False,False,False,False,True,False,False,False,False,0
6.7,4.08,24,5.6,False,False,False,False,False,True,False,False,False,0
8.1,63.938,11427,8.3,True,False,False,False,False,False,False,False,False,0
7.0,7.26,98,6.7,True,False,False,False,False,False,False,False,False,0
7.9,9.745,400,7.6,False,True,False,False,False,False,False,False,False,1
8.3,10.948,417,8.1,False,False,False,False,False,True,False,False,False,0
7.2,17.08,764,6.956,False,False,False,False,True,False,False,False,False,0
7.3,20.957,1634,7.316,False,False,False,False,True,False,False,False,False,0
7.4,8.208,523,7.112,False,False,False,False,False,False,True,False,False,0
8.3,81.848,12535,8.2,False,False,False,False,True,False,False,False,False,0
7.0,4.681,21,6.7,False,False,False,True,False,False,False,False,False,0
6.8,1.397,6,6.9,True,False,False,False,False,False,False,False,False,1
7.3,13.03,378,7.0,True,False,False,False,False,False,False,False,False,1
7.6,9.235,111,7.0,False,False,False,False,False,False,False,True,False,0
8.3,17.961,1756,7.9,False,False,False,False,False,True,False,False,False,0
7.7,53.98,5788,7.386,False,False,False,False,True,False,False,False,False,0
7.2,19.547,2633,7.1,False,False,False,False,False,False,False,False,True,0
6.2,6.865,108,5.81,False,False,True,False,False,False,False,False,False,0
7.0,22.718,435,6.99,False,False,False,True,False,False,False,False,False,0
8.0,12.215,655,7.5,False,False,False,False,False,False,False,False,True,0
7.6,4.801,55,6.7,False,False,False,False,False,False,False,True,False,0
7.6,9.235,111,7.0,False,False,False,False,False,False,False,False,True,0
6.6,3.316,39,6.7,False,False,False,True,False,False,False,False,False,0
8.7,40.769,10569,8.414,False,False,False,True,False,False,False,False,False,0
7.2,8.895,252,7.0,False,True,False,False,False,False,False,False,False,0
7.0,68.854,1225,6.943,True,False,False,False,False,False,False,False,False,0
7.3,8.883,396,7.2,False,True,False,False,False,False,False,False,False,1
7.3,8.676,123,7.1,False,False,False,False,False,False,False,False,True,0
8.0,675.246,1608,6.895,False,True,False,False,False,False,False,False,False,0
7.0,23.59,2651,6.6,False,False,True,False,False,False,False,False,False,0
7.8,29.493,2076,7.5,False,False,False,False,True,False,False,False,False,0
6.8,0.756,7,5.4,True,False,False,False,False,False,False,False,False,0
6.7,8.904,382,6.4,False,False,True,False,False,False,False,False,False,0
7.3,5.191,67,6.6,False,False,False,False,False,False,False,False,True,0
7.5,15.455,826,7.194,False,False,True,False,False,False,False,False,False,0
6.8,8.193,82,6.0,False,False,False,True,False,False,False,False,False,1
8.6,47.008,7486,8.4,False,False,False,True,False,False,False,False,False,0
7.5,14.357,1678,7.1,False,False,True,False,False,False,False,False,False,1
8.6,55.887,13162,8.448,False,False,False,False,False,True,False,False,False,0
7.7,60.818,81,7.457,True,False,False,False,False,False,False,False,False,0
7.2,12.73,304,6.658,True,False,False,False,False,False,False,False,False,1
6.8,3.521,27,6.6,False,False,False,False,False,False,True,False,False,0
8.0,43.867,3468,7.789,True,False,False,False,False,False,False,False,False,1
7.8,20.279,1326,7.368,False,False,False,False,False,False,True,False,False,0
6.4,6.284,75,6.2,False,True,False,False,False,False,False,False,False,0
7.3,10.433,188,7.0,False,False,False,False,False,False,False,True,False,0
6.7,8.904,382,6.4,True,False,False,False,False,False,False,False,False,0
7.3,12.98,333,6.9,False,False,False,False,False,False,False,False,True,1
8.5,148.769,19291,8.2,False,False,False,False,False,False,True,False,False,1
7.7,26.372,4398,7.4,False,False,False,False,False,False,False,False,True,0
6.6,8.702,73,5.932,False,False,False,False,True,False,False,False,False,0
6.6,13.442,395,6.418,False,False,False,False,False,False,False,False,True,1
7.7,23.946,1417,7.475,False,False,False,False,False,True,False,False,False,0
8.4,61.249,8322,8.271,False,False,False,False,False,False,False,True,False,0
7.2,33.072,8372,7.1,False,False,False,False,False,False,True,False,False,0
7.8,53.215,6922,7.59,False,False,False,False,False,False,False,True,False,0
8.0,43.628,4272,7.8,False,False,False,False,False,False,True,False,False,1
6.4,8.846,216,5.979,False,False,False,False,False,False,False,True,False,0
7.8,14.328,312,7.264,True,False,False,False,False,False,False,False,False,0
7.4,8.866,577,7.045,False,False,False,False,False,True,False,False,False,0
8.0,23.618,6580,8.065,False,False,False,False,False,False,False,False,True,0
7.8,23.577,1121,7.6,False,False,False,True,False,False,False,False,False,0
7.9,17.514,1613,7.742,False,False,False,False,False,False,False,True,False,0
7.0,5.122,44,6.9,False,False,False,False,False,False,False,False,True,1
8.2,17.733,1550,8.089,False,False,False,False,False,False,False,False,True,0
7.0,3.322,39,6.4,False,False,False,False,False,False,False,False,True,0
8.4,84.364,18955,8.095,False,False,False,False,False,True,False,False,False,0
7.2,25.863,7290,6.852,False,False,False,False,False,False,False,True,False,0
7.3,14.438,300,7.0,False,False,False,False,False,False,True,False,False,0
8.1,19.668,9229,8.013,False,False,False,False,False,False,True,False,False,0
7.5,9.544,166,7.235,False,False,False,False,True,False,False,False,False,0
7.8,23.922,1630,7.489,False,False,False,False,True,False,False,False,False,0
6.4,7.401,90,6.3,False,False,False,True,False,False,False,False,False,0
7.7,20.528,1798,7.8,False,False,False,False,False,False,False,False,True,0
7.6,13.255,1181,7.28,False,False,True,False,False,False,False,False,False,0
8.0,10.269,597,7.786,False,False,False,False,True,False,False,False,False,0
8.2,32.04,3231,8.117,False,False,False,False,False,False,False,False,True,0
7.6,10.635,637,7.3,False,False,False,False,False,False,False,False,True,1
7.0,7.799,21,6.0,True,False,False,False,False,False,False,False,False,0
7.3,6.178,111,7.0,False,False,False,False,False,False,True,False,False,0
7.3,17.407,2804,6.84,False,False,False,False,False,False,True,False,False,0
8.0,10.269,597,7.786,False,False,False,False,False,True,False,False,False,0
8.6,55.887,13162,8.448,True,False,False,False,False,False,False,False,False,1
7.4,14.344,321,7.6,False,False,False,False,False,False,False,True,False,1
6.2,4.726,30,6.2,False,True,False,False,False,False,False,False,False,0
7.2,5.323,54,6.7,False,False,False,False,True,False,False,False,False,0
7.3,8.883,396,7.2,False,False,False,False,False,False,False,False,True,0
6.3,1.489,22,6.5,True,False,False,False,False,False,False,False,False,0
6.6,15.895,331,6.69,False,False,False,False,False,False,False,False,True,0
7.0,5.487,66,6.1,False,False,False,True,False,False,False,False,False,0
7.1,6.111,27,6.3,True,False,False,False,False,False,False,False,False,0
7.1,3.84,23,6.3,False,False,False,False,False,False,False,False,True,0
7.7,35.672,12870,7.461,False,False,False,False,False,False,True,False,False,1
7.9,12.19,597,7.626,False,False,False,False,False,False,True,False,False,1
7.8,14.661,1056,7.505,False,False,False,False,False,False,False,True,False,1
7.2,6.132,137,6.8,False,True,False,False,False,False,False,False,False,0
7.4,10.968,516,7.724,False,True,False,False,False,False,False,False,False,0
7.7,20.239,1870,7.5,False,False,False,False,False,False,False,True,False,0
7.1,13.517,111,6.5,False,False,False,True,False,False,False,False,False,0
7.8,41.875,6878,7.597,False,False,False,False,False,False,True,False,False,0
8.1,9.002,249,7.747,False,False,False,False,False,False,True,False,False,0
7.0,3.737,27,6.315,True,False,False,False,False,False,False,False,False,0
7.0,6.617,80,6.3,True,False,False,False,False,False,False,False,False,1
8.3,56.549,11612,7.915,False,False,False,True,False,False,False,False,False,0
7.5,32.491,2594,7.4,False,False,False,True,False,False,False,False,False,1
8.1,191.374,115,5.6,True,False,False,False,False,False,False,False,False,0
7.4,19.344,1758,7.2,False,False,False,False,False,False,False,False,True,0
7.1,13.25,139,6.7,True,False,False,False,False,False,False,False,False,0
8.6,18.959,16502,8.346,False,False,False,False,False,False,True,False,False,1
7.6,45.377,3991,7.8,False,False,False,False,False,False,False,False,True,0
6.9,19.704,595,6.891,False,False,False,False,False,False,True,False,False,0
7.4,17.878,538,7.02,False,False,True,False,False,False,False,False,False,1
7.3,10.495,215,6.9,True,False,False,False,False,False,False,False,False,0
7.2,9.628,70,6.9,False,False,False,True,False,False,False,False,False,0
6.4,5.407,64,5.2,False,False,False,True,False,False,False,False,False,0
7.2,10.047,147,6.5,False,False,False,False,False,False,False,True,False,1
7.9,7.913,172,7.5,False,False,False,False,False,False,False,False,True,0
7.1,20.851,3005,6.9,False,True,False,False,False,False,False,False,False,1
7.5,21.941,787,7.3,False,False,False,False,False,False,True,False,False,0
7.5,16.878,1281,7.42,False,False,False,False,True,False,False,False,False,0
8.1,44.505,4587,7.742,False,False,False,False,False,False,False,True,False,0
