IMDb_Rating,Popularity,Vote_Average,Category,Winner
8.6,55.9,8.4,4,1
7.4,14.3,7.6,5,1
6.2,4.7,6.2,8,0
7.2,5.3,6.7,1,0
7.3,8.9,7.2,6,0
6.3,1.5,6.5,4,0
6.6,15.9,6.7,6,0
7.0,5.5,6.1,0,0
7.1,6.1,6.3,4,0
7.1,3.8,6.3,6,0
7.7,35.7,7.5,2,1
7.9,12.2,7.6,2,1
7.8,14.7,7.5,5,1
7.2,6.1,6.8,8,0
7.4,11.0,7.7,8,0
7.7,20.2,7.5,5,0
7.1,13.5,6.5,0,0
7.8,41.9,7.6,2,0
8.1,9.0,7.7,2,0
7.0,3.7,6.3,4,0
7.0,6.6,6.3,4,1
8.3,56.5,7.9,0,0
7.5,32.5,7.4,0,1
8.1,191.4,5.6,4,0
7.4,19.3,7.2,6,0
7.1,13.2,6.7,4,0
8.6,19.0,8.3,2,1
7.6,45.4,7.8,6,0
6.9,19.7,6.9,2,0
7.4,17.9,7.0,7,1
7.3,10.5,6.9,4,0
7.2,9.6,6.9,0,0
6.4,5.4,5.2,0,0
7.2,10.0,6.5,5,1
7.9,7.9,7.5,6,0
7.1,20.9,6.9,8,1
7.5,21.9,7.3,2,0
7.5,16.9,7.4,1,0
8.1,44.5,7.7,5,0
8.4,25.3,8.3,3,0
7.5,8.1,7.4,1,1
7.7,50.9,7.8,2,0
7.3,18.3,6.8,7,0
8.9,167.6,8.4,5,0
7.9,13.4,7.7,4,1
8.1,191.4,5.6,6,0
8.6,38.4,8.3,2,0
7.1,4.2,6.7,4,0
7.8,56.1,7.4,2,0
6.6,51.1,7.1,5,0
8.3,81.4,8.1,0,0
7.3,23.5,7.2,3,0
6.7,3.9,6.3,2,0
6.7,8.9,6.4,6,1
6.7,7.5,6.4,8,0
6.7,12.8,6.3,6,0
6.5,16.7,6.8,8,0
6.6,8.1,6.4,0,0
7.2,9.5,6.9,4,0
7.0,13.5,7.0,7,0
7.0,7.1,6.5,4,0
8.3,81.8,8.2,2,0
8.1,147.7,7.8,4,0
7.5,9.7,7.2,1,0
7.3,7.9,6.9,5,0
7.6,3.9,6.7,8,0
8.2,32.0,8.1,7,1
6.3,3.6,5.8,3,0
7.5,6.0,7.2,0,1
7.9,28.6,7.5,2,0
7.2,10.2,6.8,5,0
7.8,18.1,7.5,1,1
7.0,11.4,6.6,0,0
7.8,7.8,7.1,2,0
6.7,3.9,6.3,1,0
8.2,40.1,8.1,7,0
7.5,23.6,7.6,6,0
7.7,38.4,7.1,5,0
7.1,15.6,7.1,0,0
8.1,30.9,7.9,3,1
7.5,18.5,7.4,1,0
7.8,63.2,7.4,1,0
8.1,8.5,7.6,1,0
6.1,1.4,5.7,4,0
8.7,40.8,8.4,4,1
7.9,17.3,7.7,2,0
8.0,18.5,7.6,2,1
8.0,19.0,7.7,0,1
7.6,18.5,7.5,4,0
7.5,14.8,7.0,4,0
7.5,14.9,7.5,8,1
6.7,3.7,6.5,0,0
7.3,10.8,6.6,0,0
8.5,31.1,8.2,0,0
8.7,40.8,8.4,2,1
7.7,15.9,7.6,8,0
7.9,10.2,7.5,4,0
7.2,13.6,7.0,5,0
8.1,11.7,7.8,0,1
6.2,1.9,5.3,1,1
8.1,42.4,7.9,1,0
