IMDb_Rating,Popularity,Vote_Count,Vote_Average,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress,Winner
7.4,20.442,3657.0,6.868,True,False,False,False,False,False,False,False,False,
7.3,6.889,106.0,7.0,False,False,False,False,False,False,False,True,False,
6.7,9.376,68.0,6.6,True,False,False,False,False,False,False,False,False,0.0
7.9,135.26,31823.0,7.584,False,False,False,False,False,False,True,False,False,0.0
7.0,19.442,2304.0,6.7,True,False,False,False,False,False,False,False,False,0.0
7.6,34.597,3448.0,7.591,False,True,False,False,False,False,False,False,False,
6.9,11.462,756.0,6.651,False,False,False,False,False,True,False,False,False,1.0
6.6,3.723,19.0,6.4,False,False,False,False,False,False,True,False,False,
7.5,20.806,7558.0,7.503,False,False,True,False,False,False,False,False,False,0.0
7.6,5.355,50.0,7.2,False,False,False,True,False,False,False,False,False,0.0
7.1,17.684,2494.0,6.674,False,False,True,False,False,False,False,False,False,
7.4,16.976,1091.0,7.185,False,False,False,False,False,False,False,True,False,0.0
7.8,22.103,7173.0,7.7,False,False,False,False,False,False,False,False,True,0.0
7.6,18.88,1892.0,7.3,False,False,False,False,False,False,True,False,False,
6.3,10.862,196.0,6.1,False,False,False,True,False,False,False,False,False,1.0
6.7,1.081,19.0,5.6,False,True,False,False,False,False,False,False,False,
6.8,2.988,10.0,6.8,True,False,False,False,False,False,False,False,False,
7.5,6.696,105.0,6.938,False,False,False,False,True,False,False,False,False,0.0
7.0,9.755,129.0,6.6,False,False,False,False,False,False,False,True,False,1.0
8.1,14.812,992.0,7.8,True,False,False,False,False,False,False,False,False,0.0
8.0,675.246,1608.0,6.895,False,False,False,False,False,False,True,False,False,
8.3,19.654,10075.0,8.0,False,True,False,False,False,False,False,False,False,0.0
7.8,36.351,4704.0,7.562,False,False,False,False,False,False,True,False,False,0.0
7.3,10.826,215.0,7.133,False,False,False,False,True,False,False,False,False,1.0
6.4,4.72,46.0,6.2,True,False,False,False,False,False,False,False,False,0.0
7.0,10.095,301.0,6.525,True,False,False,False,False,False,False,False,False,
8.2,44.075,4061.0,7.9,False,False,False,True,False,False,False,False,False,0.0
8.2,47.709,10276.0,7.858,False,False,True,False,False,False,False,False,False,0.0
7.8,12.797,890.0,7.4,False,False,False,True,False,False,False,False,False,0.0
6.3,4.813,62.0,6.1,False,False,True,False,False,False,False,False,False,0.0
8.0,73.07,9938.0,7.9,True,False,False,False,False,False,False,False,False,
7.4,8.208,523.0,7.112,False,False,False,False,False,False,False,False,True,1.0
7.1,6.503,137.0,7.0,True,False,False,False,False,False,False,False,False,0.0
8.1,63.938,11427.0,8.3,False,False,False,False,False,False,True,False,False,0.0
