Winner,Category,Genres,Director,Vote_Count,Popularity
True,0,168,623,219,9.18
False,7,168,623,219,9.18
True,8,168,623,219,9.18
False,4,168,623,219,9.18
True,6,168,623,219,9.18
False,7,137,609,2267,16.312
True,7,76,7,1832,16.011
False,8,76,7,1832,16.011
False,4,76,7,1832,16.011
False,6,76,7,1832,16.011
False,8,203,27,49,8.671
False,3,203,27,49,8.671
False,6,203,27,49,8.671
False,8,36,94,2779,30.654
False,8,36,94,2779,30.654
True,5,36,94,2779,30.654
False,3,149,23,3,1.432
True,0,77,509,4279,28.892
False,0,77,509,4279,28.892
False,3,77,509,4279,28.892
True,4,77,509,4279,28.892
True,6,77,509,4279,28.892
True,2,77,509,4279,28.892
False,4,95,198,1111,11.385
False,5,95,198,1111,11.385
False,3,125,337,11612,56.549
False,5,125,337,11612,56.549
False,4,149,186,88,6.346
False,6,149,186,88,6.346
False,5,149,186,88,6.346
True,0,149,656,12137,33.125
False,1,149,656,12137,33.125
True,3,149,656,12137,33.125
True,4,149,656,12137,33.125
True,6,149,656,12137,33.125
True,5,149,656,12137,33.125
False,0,95,126,1039,16.26
False,7,95,126,1039,16.26
False,6,95,126,1039,16.26
True,2,95,126,1039,16.26
False,8,73,609,5495,33.713
False,8,95,126,1443,26.321
False,4,99,235,1443,26.321
False,6,99,235,1443,26.321
False,0,134,726,11679,30.857
False,0,134,159,7290,25.863
False,7,134,159,7290,25.863
False,1,134,159,7290,25.863
False,8,134,159,7290,25.863
False,4,134,159,7290,25.863
False,6,134,159,7290,25.863
False,5,134,159,7290,25.863
False,0,13,121,12924,60.585
False,6,13,121,12924,60.585
False,2,13,121,12924,60.585
False,2,71,668,479,6.08
False,7,76,695,1297,2.952
False,3,76,695,1297,2.952
False,1,149,494,1630,15.565
False,4,149,494,1630,15.565
False,6,149,494,1630,15.565
False,5,149,494,1630,15.565
False,3,99,235,464,13.669
True,3,193,740,582,12.24
False,4,193,740,582,12.24
True,6,193,740,582,12.24
False,1,149,450,1308,13.005
False,6,149,450,1308,13.005
False,2,149,450,1308,13.005
True,7,203,705,1110,27.901
False,1,203,705,1110,27.901
False,5,203,705,1110,27.901
False,1,203,435,68,4.636
