Popularity,Vote_Average,IMDb_Rating,Genres,Director,Winner
13.4,6.4,6.6,29,241,False
13.4,6.4,6.6,29,241,False
13.4,6.4,6.6,29,241,False
12.8,6.3,6.7,203,635,False
12.8,6.3,6.7,203,635,False
3.5,6.6,6.8,189,276,False
7.9,6.5,7.0,203,439,False
7.9,6.5,7.0,203,439,False
7.9,6.5,7.0,203,439,False
4.0,6.3,6.6,196,359,False
4.0,6.3,6.6,196,359,False
4.0,6.3,6.6,196,359,False
17.0,6.8,6.7,81,496,False
17.0,6.8,6.7,81,496,False
1.4,5.9,5.7,20,639,False
1.4,5.9,5.7,20,639,False
10.2,6.4,6.6,125,764,False
4.0,6.7,6.9,102,245,False
4.0,6.7,6.9,102,245,False
9.9,7.0,7.3,203,475,True
9.9,7.0,7.3,203,475,False
9.9,7.0,7.3,203,475,False
7.2,6.2,6.3,99,49,False
80.3,8.0,8.4,8,316,False
17.7,8.1,8.2,149,394,True
17.7,8.1,8.2,149,394,False
17.7,8.1,8.2,149,394,False
17.7,8.1,8.2,149,394,False
17.7,8.1,8.2,149,394,False
17.7,8.1,8.2,149,394,False
17.7,8.1,8.2,149,394,True
17.7,8.1,8.2,149,394,True
19.3,7.8,8.1,223,440,False
19.3,7.8,8.1,223,440,True
19.3,7.8,8.1,223,440,True
67.8,7.7,7.8,178,181,True
67.8,7.7,7.8,178,181,False
67.8,7.7,7.8,178,181,False
12.6,7.5,7.8,189,77,False
12.6,7.5,7.8,189,77,False
12.6,7.5,7.8,189,77,False
12.6,7.5,7.8,189,77,False
12.6,7.5,7.8,189,77,False
4.9,7.0,7.6,165,757,False
3.0,5.9,6.2,51,606,False
9.2,7.0,7.4,168,623,True
9.2,7.0,7.4,168,623,False
9.2,7.0,7.4,168,623,True
9.2,7.0,7.4,168,623,False
9.2,7.0,7.4,168,623,True
16.3,6.5,6.8,137,609,False
16.0,7.7,7.9,76,7,True
16.0,7.7,7.9,76,7,False
16.0,7.7,7.9,76,7,False
16.0,7.7,7.9,76,7,False
8.7,7.1,7.4,203,27,False
8.7,7.1,7.4,203,27,False
8.7,7.1,7.4,203,27,False
30.7,7.5,7.9,36,94,False
30.7,7.5,7.9,36,94,False
30.7,7.5,7.9,36,94,True
1.4,5.7,5.4,149,23,False
28.9,8.0,8.4,77,509,True
28.9,8.0,8.4,77,509,False
28.9,8.0,8.4,77,509,False
28.9,8.0,8.4,77,509,True
28.9,8.0,8.4,77,509,True
28.9,8.0,8.4,77,509,True
11.4,7.9,7.9,95,198,False
11.4,7.9,7.9,95,198,False
56.5,7.9,8.3,125,337,False
56.5,7.9,8.3,125,337,False
6.3,6.9,7.7,149,186,False
6.3,6.9,7.7,149,186,False
6.3,6.9,7.7,149,186,False
33.1,8.0,8.3,149,656,True
33.1,8.0,8.3,149,656,False
33.1,8.0,8.3,149,656,True
33.1,8.0,8.3,149,656,True
33.1,8.0,8.3,149,656,True
33.1,8.0,8.3,149,656,True
16.3,7.3,7.5,95,126,False
16.3,7.3,7.5,95,126,False
16.3,7.3,7.5,95,126,False
16.3,7.3,7.5,95,126,True
33.7,7.6,7.8,73,609,False
26.3,7.0,7.5,95,126,False
26.3,7.0,7.4,99,235,False
26.3,7.0,7.4,99,235,False
30.9,8.3,8.5,134,726,False
25.9,6.9,7.2,134,159,False
25.9,6.9,7.2,134,159,False
25.9,6.9,7.2,134,159,False
25.9,6.9,7.2,134,159,False
25.9,6.9,7.2,134,159,False
25.9,6.9,7.2,134,159,False
25.9,6.9,7.2,134,159,False
60.6,7.4,7.3,13,121,False
60.6,7.4,7.3,13,121,False
60.6,7.4,7.3,13,121,False
6.1,7.2,7.4,71,668,False
3.0,7.0,7.3,76,695,False
3.0,7.0,7.3,76,695,False
15.6,7.8,7.9,149,494,False
15.6,7.8,7.9,149,494,False
15.6,7.8,7.9,149,494,False
15.6,7.8,7.9,149,494,False
13.7,7.4,7.4,99,235,False
12.2,7.0,7.1,193,740,True
12.2,7.0,7.1,193,740,False
12.2,7.0,7.1,193,740,True
13.0,6.9,7.2,149,450,False
13.0,6.9,7.2,149,450,False
13.0,6.9,7.2,149,450,False
27.9,7.0,7.1,203,705,True
27.9,7.0,7.1,203,705,False
27.9,7.0,7.1,203,705,False
4.6,6.7,7.5,203,435,False
4.6,6.7,7.2,203,547,False
4.6,6.7,7.2,203,547,False
8.8,6.8,7.2,203,547,True
52.1,7.5,7.7,142,405,False
52.1,7.5,7.7,142,405,False
52.1,7.5,7.7,142,405,False
52.1,7.5,7.7,142,405,True
21.0,7.8,7.0,76,27,False
21.0,7.8,8.0,140,538,False
21.0,7.8,8.0,140,538,False
21.0,7.8,8.0,140,538,False
21.0,7.8,8.0,140,538,False
9.2,6.8,7.0,112,244,False
9.2,6.8,7.0,112,244,False
9.2,6.8,7.0,112,244,False
2.0,5.7,8.0,140,538,False
2.5,5.9,6.5,35,60,False
10.2,7.5,7.9,136,491,False
10.2,7.5,7.9,136,491,False
14.3,6.8,7.2,142,156,False
1.6,5.6,6.4,149,767,False
5.2,6.1,7.0,80,359,False
5.2,6.1,7.0,80,359,True
5.1,6.2,6.6,203,117,False
5.1,6.2,6.6,203,117,False
5.1,6.2,6.6,203,117,False
23.9,6.7,6.6,203,348,False
12.6,7.1,7.2,203,119,False
12.6,7.1,7.4,76,104,False
12.6,7.1,7.4,76,104,False
12.6,7.1,7.4,76,104,False
12.6,7.1,7.4,76,104,False
7.4,6.8,6.9,121,243,False
18.1,7.7,8.0,125,764,False
18.1,7.7,8.0,125,764,True
18.1,7.7,8.0,125,764,True
18.1,7.7,8.0,125,764,True
18.1,7.7,8.0,125,764,True
768.0,7.0,7.8,102,665,False
768.0,7.0,7.8,102,665,False
768.0,7.0,7.8,102,665,False
768.0,7.0,7.8,102,665,False
